name,count,people_count
David,1064,1
Jesus,983,1
Moses,851,1
Judah,816,5
Saul,420,2
Jacob,377,2
Death,372,1
Aaron,350,1
Daughter,327,1
Solomon,305,1
Pharaoh,273,8
Joseph,250,12
Ark,226,1
Joshua,217,5
Ephraim,177,1
Moab,168,1
Benjamin,166,4
Jeremiah,149,8
Manasseh,147,5
Joab,145,3
Samuel,144,3
John,138,5
Isaac,132,1
Hezekiah,128,3
Jonathan,121,14
Lot,108,1
Absalom,108,1
Jeroboam,104,2
Gilead,101,3
Esau,100,1
Ram,95,3
Ahab,94,2
Canaan,91,1
Jehoshaphat,85,4
Daniel,84,2
Simon,76,9
Reuben,74,1
Eleazar,74,9
Hebron,73,2
Levi,72,3
Gad,70,2
Elijah,69,4
Dan,69,1
King of Assyria,68,1
Abimelech,66,3
Shechem,64,3
Baal,64,2
Abner,63,1
Balaam,63,1
Zedekiah,62,5
Abram,61,1
Nebuchadnezzar,60,1
Mordecai,60,2
Jehu,59,5
Job,58,1
Elisha,58,1
Satan,56,1
Asa,56,2
Pilate,56,1
Laban,55,1
Mary,54,6
Haman,53,1
Zadok,53,7
Josiah,53,2
Noah,53,2
Jehoiada,52,3
Ephod,52,1
Rehoboam,50,1
Naphtali,50,1
Simeon,50,4
the angel of the LORD,50,1
Azariah,49,18
Joash,49,8
Ishmael,48,6
Rachel,47,1
Jesse,47,1
Zebulun,45,1
Issachar,44,2
Herod,44,3
James,44,4
Balak,43,1
Asher,43,1
Ahaz,42,2
Nathan,42,8
Shimei,42,17
Benaiah,42,11
Shemaiah,41,21
Zechariah,40,23
Amaziah,40,3
Merari,39,1
Samson,39,1
Ephah,39,3
Midian,39,1
Gideon,39,1
Seir,39,1
Sihon,37,1
Ahaziah,37,2
Jezreel,36,2
Philip,36,3
Caleb,36,1
Leah,34,1
Asaph,34,4
Hilkiah,34,6
Hamath,34,1
Judas,33,5
Isaiah,33,1
Eli,33,2
Gedaliah,32,5
Micah,32,4
Sheba,32,5
Kohath,32,1
Ahasuerus,31,1
Adam,31,1
Abiathar,31,1
Shaphan,30,3
Rebekah,30,1
Caesar,30,2
Jeshua,29,8
Nun,29,1
Hananiah,29,12
Jephthah,29,1
Joram,29,2
Amnon,28,2
Uriah,28,4
Baasha,28,1
Elam,28,5
Ezra,27,2
Shallum,27,13
Johanan,27,10
Uzziah,27,3
Adonijah,26,3
Zeruiah,26,1
Baruch,26,4
Korah,26,4
Maaseiah,25,14
Meshullam,25,16
Phinehas,25,2
Abishai,25,1
Nebat,25,1
Darius,25,2
Jotham,24,3
Boaz,24,1
Amalek,24,1
Tarshish,24,3
Tamar,24,3
Hazael,23,1
Cyrus,23,1
Hiram,23,2
Jehoahaz,23,2
Jezebel,23,2
Jehoram,23,3
Og,22,1
Naboth,22,1
Nabal,22,1
Machir,22,2
Zerubbabel,22,3
Achish,21,1
Joel,21,11
Eliab,21,5
Obadiah,21,12
Ithamar,21,1
Elkanah,21,8
Sisera,21,2
Kish,21,4
Naomi,21,1
Nethaniah,20,4
Ahijah,20,6
Nadab,20,4
Seraiah,20,10
Ahithophel,20,1
Abijah,20,6
Cain,20,1
Eden,20,1
Jonah,20,1
Ahikam,20,1
Zerah,19,6
King of Moab,19,3
Amon,19,3
Haran,19,3
Asahel,18,4
Gershon,18,1
Manoah,18,1
Michal,18,1
Micaiah,18,6
Omri,18,4
Tirzah,18,1
Keilah,18,1
Hezron,18,2
Abigail,17,2
Naaman,17,3
Sarai,17,1
Nahor,17,2
Elishama,17,6
Eliashib,17,8
Elah,17,5
Athaliah,17,3
Shem,17,1
Ham,17,1
Abel,16,1
Anathoth,16,2
Amasa,16,2
Heman,16,2
Jehiel,16,8
Jephunneh,16,2
Amariah,16,8
Uzziel,16,6
Mattaniah,16,10
Ahimelech,16,3
Ner,16,1
Rabshakeh,16,1
Hur,16,3
Ziba,16,1
Eliphaz,15,2
Artaxerxes,15,1
Tobiah,15,2
Mephibosheth,15,2
Eliezer,15,9
Nebuzaradan,15,1
Amram,15,2
Eliakim,15,5
Miriam,15,2
Bani,15,9
Zimri,15,3
Hashabiah,15,8
Ahitub,15,4
Ahimaaz,15,3
Michael,15,9
Lazarus,15,2
Heber,14,4
Iddo,14,6
Hushai,14,2
Hadad,14,3
Heth,14,1
Rimmon,14,1
Barak,14,1
Jeduthun,14,1
Debir,14,1
Titus,14,1
Gershom,14,3
Sidon,14,1
Ruth,14,1
Remaliah,13,1
Jedaiah,13,6
Hamor,13,1
Silas,13,1
Martha,13,1
Eber,13,5
Amminadab,13,2
Amoz,13,1
Kareah,13,1
Obed,13,5
Bela,13,3
Hannah,13,1
Abinadab,13,2
Andrew,13,1
Rechab,13,3
Sennacherib,13,1
Ophir,13,1
Eglon,13,1
Nebo,13,1
Ephron,13,1
Hanan,12,8
Enoch,12,2
Agrippa,12,1
Lamech,12,2
Jabesh,12,1
Anah,12,1
Zalmunna,12,1
Zebah,12,1
Kedar,12,1
Haggai,12,1
Hagar,12,1
Abihu,12,1
Zichri,12,12
Barzillai,12,3
Jonadab,12,1
Gehazi,12,1
Thomas,12,1
Zebedee,12,1
Shephatiah,12,8
Pekah,11,1
Kenaz,11,3
Jeiel,11,8
Hoshea,11,3
Harim,11,4
Uzzi,11,6
Abiram,11,2
Teman,11,1
Japheth,11,1
Elihu,11,5
Zelophehad,11,2
Hanani,11,4
Bilhah,11,1
Terah,11,1
Joah,11,4
Milcah,11,2
Hanun,11,3
Er,11,3
Urijah,11,1
Rezin,11,2
Mahli,11,3
Shelah,11,2
Ananias,11,3
Beriah,11,4
Barabbas,11,1
Dedan,11,2
Zacharias,11,1
Jehoiachin,11,1
Zephaniah,11,4
Uzza,10,2
Ziph,10,2
Berechiah,10,6
Ammihud,10,5
Dathan,10,1
Eliel,10,8
Reuel,10,4
Beor,10,2
Gog,10,2
Jeroham,10,7
Aram,10,3
Baanah,10,3
Ehud,10,2
Cushi,10,2
Mamre,10,1
Neriah,10,1
Cornelius,10,1
Sanballat,10,1
Bethuel,10,1
Bathsheba,10,1
Shelemiah,10,8
Rehob,10,2
Vashti,10,1
Rahab,10,1
Jair,10,3
Immer,10,3
Deborah,10,2
Apollos,10,1
