,female_unique_names,male_unique_names
Exodus,2,16
Hebrews,2,20
Joshua,0,4
Leviticus,1,17
Numbers,1,62
Deuteronomy,0,13
Judges,0,0
Micah,1,16
Ruth,8,49
1 Samuel,5,36
Mark,0,1
Obadiah,0,9
Isaiah,4,23
Jeremiah,0,5
Zephaniah,0,10
Ezra,0,38
Joel,0,6
Zechariah,0,16
Haggai,0,3
Nehemiah,0,0
Esther,0,2
Job,0,5
Psalms,0,5
2 Kings,1,43
1 Kings,0,0
Proverbs,0,12
Ecclesiastes,0,2
Song of Solomon,1,5
Lamentations,0,0
Ezekiel,3,45
Daniel,0,4
Hosea,1,22
Amos,0,9
Jonah,0,1
Nahum,0,3
Habakkuk,0,2
Malachi,0,7
James,2,9
Matthew,0,1
John,0,2
Luke,1,10
Romans,6,41
1 Peter,0,1
Acts,0,2
Ephesians,0,4
Titus,0,7
Galatians,0,1
Philippians,0,3
Colossians,3,23
Philemon,1,5
Jude,0,8
Revelation,0,2
